,logFC,AveExpr,t,P.Value,adj.P.Val,B
FLT1,1.5294400903274,11.502116176453,12.5322790979662,2.32005671026916e-23,3.39911508621534e-19,42.3588076529099
LIMCH1,1.27659016008475,10.2811908244957,11.3427394023825,1.45479435758665e-20,1.0657096066501e-16,36.1104470726807
COL17A1,1.50621200120793,9.13719044325186,11.2223245044555,2.80170394131139e-20,1.36825881480511e-16,35.4739982037736
KRT19,1.09414720895398,12.0932178831032,10.9632346278056,1.14901322223478e-19,4.03495733516261e-16,34.1031118100192
LEP,3.25589874917667,10.9097678130474,10.9300172346404,1.3770245495743e-19,4.03495733516261e-16,33.9272360403198
HTRA4,2.16901298695446,10.9891925364011,10.8432498223174,2.20965835241249e-19,5.39561742019924e-16,33.4677330528285
PVRL4,1.29704502645254,10.2077369559849,10.5566899452847,1.05385253610988e-18,2.20571335807799e-15,31.9495133623439
CALM1,0.740559265714831,11.7312685311533,10.5147346573571,1.3246863633868e-18,2.4259974887475e-15,31.7271917267906
FSTL3,1.88042400840431,11.8125038226447,10.3464014974148,3.31588168653464e-18,5.39788695437988e-15,30.8352384247664
SH3PXD2A,0.90783733075377,9.8122753347736,10.2700338046042,5.0272414145801e-18,7.3654113965013e-15,30.4306567379692
TPBG,0.9353885035861,9.53674673925647,10.2517224486572,5.55467689596409e-18,7.39832465479726e-15,30.3336571898847
PROCR,1.04553042965122,10.8398939507961,9.94032588455702,3.02666533659576e-17,3.69530615387203e-14,28.6851241425201
CRH,2.07297265561246,11.9923176392342,9.91126624025991,3.5449611690576e-17,3.7220626163516e-14,28.5314129168106
FLNB,0.829227414537099,10.3957111258371,9.91065957981987,3.55667712981519e-17,3.7220626163516e-14,28.5282042779669
LRRC1,0.889912745543805,10.163752822515,9.85504072416682,4.81274422276126e-17,4.53788874656587e-14,28.2340892256213
ERO1L,0.867971087459379,9.58910280744295,9.84965594287391,4.95571769470029e-17,4.53788874656587e-14,28.2056201455464
PAPPA2,1.31124432720413,12.0520107547336,9.81049281707563,6.13136669398164e-17,5.284156084325e-14,27.9985996079977
SCARB1,0.833346096530454,11.596373611195,9.78951899461521,6.87159640075219e-17,5.50523082072575e-14,27.8877544142208
KIAA1919,0.70792817411235,9.31534208623933,9.78248281497706,7.1394024703972e-17,5.50523082072575e-14,27.8505726890051
NDRG1,1.05333445753855,11.4141059453116,9.68508728275603,1.21170509043541e-16,8.6005910247601e-14,27.3361185957398
BCL6,1.13118194484535,9.37428202327243,9.68191329721807,1.23276507760537e-16,8.6005910247601e-14,27.3193604832731
INHA,1.38765424056967,9.49799405459196,9.62499977163142,1.67891448091381e-16,1.11808072999401e-13,27.0189497041533
PIK3CB,0.884604331414733,9.99761065492843,9.60630567806352,1.85812639268145e-16,1.18362651213809e-13,26.9203108406018
RFK,0.758202658574328,8.97823309271499,9.58890354245379,2.04206864380261e-16,1.246597820848e-13,26.8285053631457
CST6,1.00399527079893,8.73127589644337,9.57737776696903,2.17379272586901e-16,1.27392948906827e-13,26.7677096734895
ENG,1.11731010070425,11.6727269329832,9.52215647853999,2.93251391711961e-16,1.59351914861326e-13,26.4765321427896
SASH1,1.18691103622126,10.5058518213077,9.52189575654977,2.93666077486575e-16,1.59351914861326e-13,26.4751577848074
SMARCA1,0.556518195905211,9.34517287809317,9.45693449174906,4.17547808392213e-16,2.18481890741225e-13,26.1328491871385
MLL5,0.593706057382134,9.67558446323399,9.43562493166018,4.68621087977723e-16,2.36750605515918e-13,26.020616118597
SPAG4,0.98844568092983,7.97967280940995,9.41839840333764,5.14429138998833e-16,2.51230043849064e-13,25.9299085497941
INHBA,1.45539306050577,11.2975487795713,9.40989206180357,5.38670090163954e-16,2.5374753811639e-13,25.8851248170958
PLA2G16,0.816683164479423,9.79717399368341,9.40463326687294,5.54223003189167e-16,2.5374753811639e-13,25.8574409483594
WDR60,0.712329404604226,8.47437832337581,9.35459742339664,7.26542529408424e-16,3.22562866617055e-13,25.5941292577546
P4HA1,0.779587028592275,9.20595612843331,9.32771897939671,8.40213485548784e-16,3.62057875787507e-13,25.4527531045959
FAM101B,-0.672606556127592,8.42299685473259,-9.28406206058441,1.06384064364524e-15,4.45323693429896e-13,25.2232343602636
ERGIC1,0.598348797669681,9.12333646144028,9.22708906629774,1.44720285053272e-15,5.88971360087634e-13,24.9239207048199
OCRL,0.663774513072264,9.62741697749761,9.16784418582468,1.99247707230528e-15,7.88967069901206e-13,24.6129388996972
SYDE1,0.893772525317518,10.4269521226222,9.13579209960603,2.36846875420263e-15,9.13169360995333e-13,24.4448133143465
HTRA1,1.01509776879595,12.8440957604579,9.02609562121786,4.27672311298686e-15,1.60662231611206e-12,23.8700810866962
IL1RAP,0.718267687088114,9.93054209149306,8.95985945389366,6.10721488624051e-15,2.23692013245774e-12,23.5235803388023
PPP1R16B,0.509103349337281,7.66205793849456,8.91352338410744,7.83388733513941e-15,2.79937276456408e-12,23.2814343154775
NEK11,0.987385360401399,7.80558284049356,8.80841280670731,1.37695401907975e-14,4.8032746032232e-12,22.7329515133399
KIF2A,0.847012260494127,11.2191765036446,8.78262283802095,1.58103105023189e-14,5.33313409335043e-12,22.5985551165751
RDH13,1.00355663601299,10.014378492345,8.7802040941935,1.6016510825706e-14,5.33313409335043e-12,22.5859543307931
SH3BP5,0.995531205022123,9.14161696441698,8.74583179402864,1.92534615491186e-14,6.26849922569194e-12,22.4069574384175
UBE2Q2,0.605007850319463,9.99562142193952,8.73899818176684,1.99707846333283e-14,6.36069490571505e-12,22.3713866212923
PAM,0.65657246526173,11.4312006287434,8.73236243738325,2.06927990320008e-14,6.45042975782648e-12,22.336850844848
GUCA2A,0.984346963294366,9.01454800530664,8.71994125203827,2.21149084927572e-14,6.60999526277729e-12,22.2722182471404
HEXB,0.726493517700845,12.9732374433188,8.71660451330393,2.25132486148477e-14,6.60999526277729e-12,22.2548588307671
PIK3AP1,0.746911626422934,9.23073510879492,8.71623191188009,2.25581709875684e-14,6.60999526277729e-12,22.2529204479473
SLCO2A1,1.04755757588386,11.6722382209288,8.70915680437487,2.34283200329064e-14,6.73035915298258e-12,22.2161166952107
VWCE,0.968099246787091,8.03457334001993,8.67346084369149,2.83552346954095e-14,7.98908737543163e-12,22.030520349629
DUSP1,0.930765093307919,12.6119287800335,8.63705553343659,3.44433198084552e-14,9.52130336818259e-12,21.8413919631414
ILVBL,0.62611391258883,10.2187022155223,8.62024926764924,3.76770910179562e-14,1.01487166003368e-11,21.7541363666367
MGAT3,0.823726586229453,8.59989574011692,8.61660458192555,3.84173244079761e-14,1.01487166003368e-11,21.735218286077
C12orf75,0.914430943715864,9.51207411753476,8.61479079784348,3.87910811288555e-14,1.01487166003368e-11,21.7258042819477
CCSAP,0.899106859915275,10.2238569923918,8.60450778829341,4.09795267127707e-14,1.05331762433123e-11,21.6724405306195
GREM2,1.01469226434727,8.88771265451149,8.59564983148129,4.29629701992132e-14,1.07031676960403e-11,21.6264826478003
ANXA4,0.795274798895889,10.8731378158047,8.59504443995806,4.31019653311295e-14,1.07031676960403e-11,21.6233420429215
F13A1,-0.738416841716367,11.8879452259026,-8.52634541038829,6.21658118372543e-14,1.51798551537935e-11,21.2672528152519
HMGB3,0.597599839530321,10.0302821223642,8.50527133901091,6.95488989930582e-14,1.67042773630704e-11,21.1581416119852
GRHL1,0.916528970528802,9.57028892977009,8.44984271219054,9.34027955084406e-14,2.20716831773252e-11,20.8714423759304
LEPREL1,-0.854679657313323,8.66031718509555,-8.42668545723497,1.05636042000115e-13,2.45662484340267e-11,20.751787660038
BCAR3,0.63914000942237,10.3261540901717,8.41267740502611,1.13796886192101e-13,2.60505965562575e-11,20.679443470955
SLC16A10,-0.957300368516051,8.720829043394,-8.32606546352229,1.8017240209676e-13,4.06108594326096e-11,20.2327584741117
BHLHE40,1.30444565991949,10.3332733876416,8.31037989451361,1.95784555773648e-13,4.34612049490866e-11,20.1519798413776
SPTLC3,0.741811220121502,12.0228611052338,8.26342440086675,2.51027675765983e-13,5.48926339947376e-11,19.9103854865169
TPI1,0.601865627327774,9.35663715433213,8.25809437529172,2.58205460661886e-13,5.56318853552542e-11,19.8829827035519
GAP43,-0.719288938826883,6.73782799403306,-8.24780103816591,2.72649921489335e-13,5.78926666629021e-11,19.830074838676
EFHD1,0.676416199722734,12.7111050076442,8.2190191304883,3.17445666553452e-13,6.64413780096375e-11,19.6822225914967
TRIM24,0.58719294094624,9.26677533336814,8.19180805332482,3.66502336773771e-13,7.47951031516475e-11,19.5425591055423
SCN9A,-0.67789339030096,6.96918197398124,-8.1904280193483,3.69181946250368e-13,7.47951031516475e-11,19.5354790734124
SLC6A8,0.769905676200738,9.3364313678003,8.18864458578014,3.72673710331736e-13,7.47951031516475e-11,19.5263299170004
DIO2,1.28813103185963,7.7972353475932,8.17558378836102,3.99266070716184e-13,7.90492865143624e-11,19.4593424759937
MAN1C1,0.875382222357418,11.574407237323,8.16627663608949,4.19359074126805e-13,8.1920397267091e-11,19.411623789697
ADAP2,-0.441180029984736,9.11861575505556,-8.15126363513949,4.53910006082604e-13,8.73693532768204e-11,19.3346801590818
SLC26A2,-0.643397800927616,9.85995102355182,-8.14907431040481,4.59179591994756e-13,8.73693532768204e-11,19.3234626360363
SLC35F2,0.702742475124655,8.85445341742119,8.1337022595333,4.97931970091582e-13,9.35282217155354e-11,19.2447223471888
EPS8L1,0.802563454653807,9.51846432363102,8.12021795292876,5.3459223484746e-13,9.91431750981030e-11,19.1756836149985
CCBP2,0.622077400636272,10.975275130228,8.10737287288178,5.72006221071199e-13,1.04755789311427e-10,19.1099456674744
LIMD1,1.04214702139557,8.67111082684625,8.0827758474515,6.51064490136777e-13,1.16612033788227e-10,18.9841410785816
FAM120AOS,0.538257250618045,10.2350287493283,8.08016639143057,6.60064063537178e-13,1.16612033788227e-10,18.9708006580318
TMEM45A,1.20586697908012,9.25194751886106,8.08000527380966,6.60623766597693e-13,1.16612033788227e-10,18.9699770080634
SIGLEC6,0.967500918688618,10.7270248139556,8.06490265411397,7.15238326680833e-13,1.24749484811915e-10,18.8927903972275
ZCCHC2,0.565153179728019,7.94909539244103,8.04945814600127,7.75730965292907e-13,1.33708639676546e-10,18.8138966790319
FKBP2,0.701193482803621,9.3914446539497,8.04244716031232,8.04843960788653e-13,1.37113591505983e-10,18.7780966348564
QPCT,0.943284556283627,7.9526137011814,8.03178220023248,8.51225176815986e-13,1.43348276615299e-10,18.7236546515999
MTMR4,0.808060036566621,10.8451538178529,8.02089689371197,9.01303980882102e-13,1.50056870726178e-10,18.6681082028318
SLAMF1,-0.765660102164605,6.19902220425618,-8.00743094184447,9.67323559208728e-13,1.57852003568961e-10,18.5994216403814
EBI3,0.996864561572078,13.4516781338544,8.00696871373416,9.69673081783255e-13,1.57852003568961e-10,18.597064490918
HPGDS,-0.925560029316076,8.37168815806082,-7.98533620990167,1.08621347808041e-12,1.74880369970946e-10,18.4867908840619
FBXO22,0.391251336738001,9.17792859114089,7.93992113689344,1.37809165780986e-12,2.19461096506221e-10,18.255555196705
SOD1,-0.54720318069805,11.3925645230579,-7.91707723024451,1.55313709012668e-12,2.44677543090817e-10,18.1393842803755
ERRFI1,0.782941541361344,11.6933868891474,7.8598415154682,2.09481121764037e-12,3.26500842017544e-10,17.8487406189905
SSFA2,0.664691148004284,10.3561075635024,7.85202949803023,2.18202262097492e-12,3.36205062339596e-10,17.8091188148288
TBC1D22A,0.426432949789744,9.37197993868245,7.85019949397114,2.20296812399162e-12,3.36205062339596e-10,17.7998388848189
EFNB1,0.636742651334014,9.17539552887626,7.81761129440479,2.61123668391963e-12,3.94404419135119e-10,17.6346917259914
PLIN2,1.09129959302793,12.0309817364605,7.80680673021885,2.7625358842991e-12,4.12634968746987e-10,17.5799826133323
KDM3A,0.652083703125562,8.81698620929864,7.80502805336571,2.78826441239176e-12,4.12634968746987e-10,17.5709784214979
CORO2A,0.710374026715436,7.52674022665094,7.76033532520971,3.51891992084101e-12,5.15556957602416e-10,17.344933928137
GPR146,0.827479148267118,8.19856704373322,7.75581268694676,3.60270153872471e-12,5.2260574498867e-10,17.3220815485908
ALPK3,0.488790005062394,7.40757690076809,7.72313622225175,4.26981589146052e-12,6.13304633586157e-10,17.1570926806937
RASSF7,0.642666358275186,8.84006262762544,7.72088431697746,4.32006630802606e-12,6.14497975523202e-10,17.1457303579157
GFOD2,0.545629537934465,8.61731975158041,7.70460451017631,4.70123159195501e-12,6.62286000516662e-10,17.0636187946633
HDAC9,-0.431846852988917,6.3641423643603,-7.70091102949661,4.79225134160167e-12,6.6867880386482e-10,17.0449972503021
MTSS1,-0.559344506169843,8.94501943102115,-7.69253556508568,5.00518264755864e-12,6.91801235560204e-10,17.0027807350117
HSD17B1,-0.643135437148512,11.7665095986992,-7.6825547486835,5.2712201227313e-12,7.21763046898469e-10,16.9524912555415
AMD1,0.613622726311295,10.8006776909451,7.67763091625113,5.40758721391026e-12,7.33579261768511e-10,16.927689527637
AK4,0.643526491297313,7.9929437152896,7.66302039342555,5.83318170923681e-12,7.84054543321362e-10,16.8541247308128
TMEM184A,0.634507106573373,8.29399520644631,7.64138065816106,6.52532548940993e-12,8.6911403404859e-10,16.7452491885705
PPP1R12C,0.513341856034211,8.68105511031843,7.63791576413864,6.64347784380181e-12,8.76879224230093e-10,16.7278254596034
RASEF,0.909291436859967,8.13623004466796,7.63576425674128,6.71790977806122e-12,8.78786572842633e-10,16.7170075605153
NEDD4L,-0.476861445195917,8.82868183786169,-7.62398183043969,7.14044289117328e-12,9.25793175208671e-10,16.6577821951718
NPNT,0.93163762876697,8.26392336895697,7.62041446878984,7.27349863454888e-12,9.34772179778733e-10,16.6398563452338
CD28,-0.596663586231142,7.37272375430404,-7.61858774371691,7.34258145811375e-12,9.35444877763692e-10,16.6306781703709
PHYHIP,0.631969898878709,7.17981268241015,7.6138480539075,7.52487738940881e-12,9.50404988208867e-10,16.6068674396718
HK2,1.3378357844455,8.5357648431852,7.60238323220751,7.9846131209237e-12,9.99850998586778e-10,16.5492915356986
SLCO2B1,-0.56294077493545,9.29076355837064,-7.57924441869987,8.99904238583295e-12,1.11733025419355e-09,16.4331751442449
AIF1L,0.590974561763126,9.20322940806548,7.55597745723869,1.01479176532429e-11,1.24335967006814e-09,16.3165324845021
MYO7B,0.714383563632053,7.23226537982054,7.55529320134464,1.01838209274573e-11,1.24335967006814e-09,16.3131039371823
BTD,0.657533431036596,8.50862745999085,7.54545085274245,1.07144144239843e-11,1.29732963409747e-09,16.2637990003577
SLC9A9,-0.755809122289414,8.28070101391699,-7.52102096540029,1.2152881238097e-11,1.45944150015868e-09,16.1415104285901
LEPROTL1,0.56960714083036,10.3483487236548,7.50994667099449,1.28665388159975e-11,1.53258260319658e-09,16.0861194710199
CTSC,-0.656434871167528,10.0018592416404,-7.45265683982722,1.72775023790348e-11,2.03625739280398e-09,15.8000097397503
BMPR2,0.560328973366273,10.4475659784745,7.45158395201038,1.73730239642684e-11,2.03625739280398e-09,15.794658768235
F11R,0.518854600879202,9.79961374482831,7.43319949623901,1.90936188690153e-11,2.22016357182495e-09,15.7030083479917
BACH1,0.581456563653878,8.31924126464495,7.41845854933774,2.05944011694112e-11,2.37581552388223e-09,15.6295779599045
SLC2A1,0.517704385230406,13.2756188874144,7.40517127778997,2.20470877571091e-11,2.52149324105716e-09,15.5634321758351
AIF1,-0.50799306754111,9.11869895016822,-7.40381122206829,2.22013943141337e-11,2.52149324105716e-09,15.5566639648387
TMEM139,-0.593385417101878,8.84249455068951,-7.39279037011376,2.34919115966406e-11,2.64753843694139e-09,15.5018355417494
S100A6,0.488402441469363,10.1146791969049,7.37454900458488,2.57932776117323e-11,2.88471229228618e-09,15.4111480825405
PNCK,0.891579992648061,8.12338392721829,7.36745671400688,2.67472013333561e-11,2.96873671768939e-09,15.3759098156976
CYP11A1,0.677850892175602,12.9631598767112,7.36334693612917,2.73158896409306e-11,3.00906089570883e-09,15.3554957253379
CSHL1,-0.413078293849505,13.5591895830688,-7.33994498028729,3.07900897486081e-11,3.36645973811088e-09,15.2393303865002
INSIG1,0.806735630867362,10.3638036413946,7.33055184514696,3.23046824219761e-11,3.50371740688218e-09,15.1927406268509
ATP8B4,-0.5773503772837,7.7183940063997,-7.32889974742891,3.25786072367422e-11,3.50371740688218e-09,15.1845484566274
ARRDC3,0.864651186930036,11.2677933500262,7.32779595268502,3.27629025146993e-11,3.50371740688218e-09,15.1790754951112
CCBL1,0.419090723138919,7.5674031291057,7.31858198585067,3.43421732121315e-11,3.6459940560213e-09,15.1334012553432
RAB25,0.712636464272721,9.60592011839745,7.31461361808312,3.50453772018635e-11,3.69305602281119e-09,15.1137361394005
NEURL,0.794537738059381,8.67052127550501,7.31325387485273,3.52895941023525e-11,3.69305602281119e-09,15.1069988569811
TNFRSF11A,-0.526745920775328,6.96150542577353,-7.30816940928592,3.62178259698328e-11,3.76331466868099e-09,15.0818102349996
MORC4,-0.4238531908053,11.2336410597105,-7.30492798345093,3.68221746252726e-11,3.79916676362584e-09,15.0657553859938
SLC16A3,0.641848849777558,10.3391977259979,7.29556416144084,3.86247157860486e-11,3.95727769917061e-09,15.0193906035239
PRRG1,0.531886415880965,9.0763443086891,7.29255181079105,3.92229769492236e-11,3.99066552279913e-09,15.0044795729255
