"cause","effect"
"A1CF","SYNCRIP"
"A2M","ANXA6"
"A2M","CDK2AP2"
"A2M","H2AFX"
"A2M","KLK2"
"A2M","NUDT21"
"A2M","PAEP"
"A2M","PDGFB"
"A2M","SHBG"
"A2M","TNFRSF14"
"A2M","UFD1L"
"AAMP","MAP1LC3B"
"AANAT","YWHAZ"
"AASDHPPT","MDFI"
"AATF","LDOC1"
"ABCA1","LIMK1"
"ABCA1","PDLIM4"
"ABCA1","RAPGEF6"
"ABCC9","STX1A"
"ABCF3","HIRIP3"
"ABI1","SOS1"
"ABI1","WASF1"
"ABI2","KRT15"
"ABI2","PCM1"
"ABL1","ATM"
"ABL1","BCR"
"ABL1","CDK5"
"ABL1","CDKN1B"
"ABL1","MAP4K5"
"ABL1","POLR2A"
"ABL1","PRKD1"
"ABL1","PRKDC"
"ABL1","RAD9A"
"ABL1","RIN1"
"ABL1","SORBS2"
"ABL1","WASF1"
"ABL2","SORBS2"
"ABLIM1","CALCOCO2"
"ABLIM1","HOOK2"
"ABLIM1","USHBP1"
"ABLIM1","VIM"
"ABLIM1","YWHAG"
"ACACA","ATXN1"
"ACACA","CSNK2A1"
"ACD","USP7"
"ACE2","NTS"
"ACHE","APP"
"ACIN1","KLHL26"
"ACP1","CTNNB1"
"ACP1","FABP4"
"ACP1","FYN"
"ACP1","LCK"
"ACP1","MRPL20"
"ACP5","MAPK9"
"ACPP","SHBG"
"ACTA2","CCT4"
"ACTB","BCL2L1"
"ACTB","CORO1A"
"ACTB","CPNE2"
"ACTB","CPNE4"
"ACTB","CSNK1A1"
"ACTB","EMD"
"ACTB","HNRNPAB"
"ACTB","HNRNPU"
"ACTB","LASP1"
"ACTB","MYO18B"
"ACTB","NCALD"
"ACTB","NEBL"
"ACTB","PFDN1"
"ACTB","TK1"
"ACTB","TPM1"
"ACTB","TPM2"
"ACTC1","ACTB"
"ACTC1","ACTN4"
"ACTC1","AFAP1"
"ACTC1","ANG"
"ACTC1","DMD"
"ACTC1","DYNLL1"
"ACTC1","HSPB1"
"ACTC1","LASP1"
"ACTC1","TWF1"
"ACTC1","VCL"
"ACTG1","ACTB"
"ACTG1","ANXA5"
"ACTG1","CFL1"
"ACTG1","CFL2"
"ACTG1","PFN2"
"ACTG1","PIP4K2C"
"ACTG1","PLD1"
"ACTG1","RPS6KA5"
"ACTG1","SH3GL2"
"ACTG1","VCL"
"ACTG1","WASF1"
"ACTL6A","ARHGDIA"
"ACTL6A","POLR2A"
"ACTL6A","TRRAP"
"ACTN1","COIL"
"ACTN1","CSRP3"
"ACTN1","LPP"
"ACTN1","MAGEA11"
"ACTN1","PDLIM1"
"ACTN1","PKN1"
"ACTN1","SLC2A4"
"ACTN1","ZYX"
"ACTN2","PKN1"
"ACTN3","NRAP"
"ACTN4","PDLIM1"
"ACTN4","TRIM3"
"ACTR1A","DCTN1"
"ACTR1A","NUMA1"
"ACTR2","ACTC1"
"ACTR2","ACTR3"
"ACTR3","CTTN"
"ACVR1","RPS27A"
"ACVR1","RRAS2"
"ACVR1","SOCS6"
"ACVR1","UBA52"
"ACVR1","UBE2E3"
"ACVR1B","ACVR1"
"ACVR1B","INHBC"
"ACVR1B","SNX2"
"ACVR1C","INHBB"
"ACVR2A","BMP6"
"ACVR2A","BMP7"
"ACVR2B","ACVR1B"
"ACVR2B","SNX1"
"ACVR2B","SNX2"
"ACVR2B","SNX6"
"ACVR2B","SYNJ2BP"
"ACVR2B","TGFBRAP1"
"ACVRL1","TGFB3"
"ACVRL1","TGFBR1"
"ACVRL1","TGFBRAP1"
"ADA","GRB2"
"ADAM10","SH3D19"
"ADAM15","SH3GL2"
"ADAM17","MAD2L1"
"ADAM17","TNF"
"ADAM19","NRG1"
"ADAM19","TNFSF11"
"ADAM9","MAD2L2"
"ADAM9","PRKCD"
"ADAM9","SH3D19"
"ADAM9","SNX9"
"ADAM9","TNF"
"ADAMTS10","ANXA7"
"ADAMTS10","CDKN1A"
"ADAMTS10","PCYT2"
"ADAMTS4","FN1"
"ADAMTS4","SERPINA3"
"ADAP1","ANP32A"
"ADCY6","CHRNA7"
"ADCYAP1","CASP2"
"ADCYAP1R1","ADCYAP1"
"ADD1","MAP1LC3B"
"ADD1","TK1"
"ADIPOR1","APPL1"
"ADIPOR2","LSM1"
"ADM","EDN1"
"ADORA1","EPB41L2"
"ADORA1","GNAI2"
"ADORA1","GNAZ"
"ADORA1","GRM1"
"ADORA2A","ACTN1"
"ADORA2A","ACTN3"
"ADORA2A","CYTH2"
"ADORA2A","DRD2"
"ADORA2B","ADA"
"ADRA1B","AP2M1"
