"Name","K","Kin","Kout","TypeI","TypeII"
"A1CF",1,0,1,1,0
"AAMP",1,0,1,1,0
"ABCC9",1,0,1,1,0
"ACIN1",1,0,1,2,0
"ACP1",5,0,5,2,0
"ACPP",1,0,1,1,0
"ACTR2",2,0,2,2,0
"ACVR1C",1,0,1,2,0
"ACVR2B",6,0,6,2,0
"ACVRL1",3,0,3,2,0
"ADAMTS10",3,0,3,2,0
"ADAMTS4",2,0,2,1,0
"ADCY6",1,0,1,2,0
"ADCYAP1R1",1,0,1,2,0
"ADIPOR1",1,0,1,2,0
"ADIPOR2",1,0,1,2,0
"ADORA2A",4,0,4,2,0
"ADORA2B",1,0,1,2,0
"ADRA1B",4,0,4,2,0
"ADRA1D",3,0,3,2,0
"ADRA2B",2,0,2,1,0
"ADRA2C",1,0,1,1,0
"AFTPH",1,0,1,1,0
"AGGF1",1,0,1,1,0
"AGTR1",8,0,8,2,0
"AHNAK",1,0,1,1,0
"AIF1",1,0,1,2,0
"AIFM1",1,0,1,2,0
"AKAP3",1,0,1,1,0
"AKAP7",1,0,1,1,0
"AKIRIN2",1,0,1,1,0
"ALK",2,0,2,1,0
"ALX1",1,0,1,2,0
"AMFR",4,0,4,2,0
"AMHR2",2,0,2,2,0
"ANAPC10",1,0,1,1,0
"ANAPC5",2,0,2,1,0
"ANGPT2",2,0,2,1,0
"ANGPTL1",1,0,1,1,0
"ANXA2",2,0,2,2,0
"AP4M1",2,0,2,2,0
"APBA2",2,0,2,2,0
"APCS",3,0,3,2,0
"AQP1",2,0,2,2,0
"AREG",1,0,1,1,0
"ARHGAP1",12,0,12,2,0
"ARHGAP15",2,0,2,1,0
"ARHGDIB",2,0,2,2,0
"ARID3A",1,0,1,1,0
"ARID4A",2,0,2,1,0
"ARL6IP1",1,0,1,1,0
"ARNTL",2,0,2,1,0
"ARPC1B",1,0,1,1,0
"ARPC4",1,0,1,2,0
"ARPC5",1,0,1,1,0
"ASGR2",2,0,2,2,0
"ATP5J",1,0,1,1,0
"ATP6V1A",2,0,2,1,0
"ATP6V1B1",1,0,1,1,0
"ATP6V1E1",4,0,4,2,0
"ATPIF1",1,0,1,1,0
"ATR",5,0,5,2,0
"ATXN7",1,0,1,1,0
"AVPR1B",1,0,1,1,0
"AVPR2",2,0,2,2,0
"BAG4",3,0,3,1,0
"BAI1",2,0,2,1,0
"BAI2",2,0,2,2,0
"BATF",1,0,1,1,0
"BAX",8,0,8,2,0
"BBS4",1,0,1,1,0
"BCAP31",2,0,2,1,0
"BCL10",6,0,6,2,0
"BDKRB2",4,0,4,2,0
"BECN1",2,0,2,1,0
"BEND7",1,0,1,1,0
