,logFC,AveExpr,t,P.Value,adj.P.Val,B
LEP,1.79073433571239,9.81616209195806,7.52074952526117,1.92469377578258e-12,2.76078817296201e-08,17.6572960327947
ERO1L,0.496969099090938,9.30821627420349,7.4070376451655,3.76873684111938e-12,2.76078817296201e-08,17.0257581599502
FSTL3,1.09321799271869,11.0301246295987,7.19999876013476,1.26312658611564e-11,6.16868920439342e-08,15.8894036903072
DAB2,-0.424667085672068,13.0511859412951,-7.07021917241931,2.67019910079125e-11,9.78027175642314e-08,15.1863105730931
EFNB1,0.422547330065491,8.9853141700536,6.97127851661503,4.70081457080203e-11,1.37743268553641e-07,14.6552253424466
SPAG4,0.509235906198914,7.61780330933594,6.71696363996004,1.96986495352651e-10,4.81008190568615e-07,13.3104570351822
NPNT,0.5501836869846,8.04162000204839,6.53395234536929,5.41788485537114e-10,1.13396330022918e-06,12.3615603322325
ENG,0.578951442268028,11.0710294795867,6.50812734415455,6.24093392058961e-10,1.14294903588198e-06,12.2289716990173
B3GNT2,-0.376058362848589,8.2287510566521,-6.43322764233024,9.38756087885968e-10,1.52402600202833e-06,11.8462991883698
FAM184A,0.516391208598284,9.02083002263206,6.41431534258101,1.04021978160421e-09,1.52402600202833e-06,11.7501175139085
SIGLEC6,0.63089120165869,10.5156601326575,6.38793269292387,1.19996839158026e-09,1.59824880954931e-06,11.6162454958582
HTRA4,0.895491049808246,10.0465237418253,6.37134879118817,1.31247345274725e-09,1.60242071301666e-06,11.5322751851891
LANCL2,-0.245514467831077,9.03405411665415,-6.32851311290314,1.65323305449377e-09,1.86319365241447e-06,11.3160310004567
SLC6A8,0.384911086538557,8.90316998857798,6.15781128732322,4.10803149688519e-09,4.29905496149035e-06,10.4637203429999
HK2,0.689991873029878,7.88331089012529,6.13893772050364,4.53862478290084e-09,4.43302611295202e-06,10.3704251117172
SEMA4C,0.502025559568473,8.44112262037285,6.10187996833892,5.51670828734996e-09,4.90866933038435e-06,10.1877951127951
HEXB,0.38517584486444,12.5551311045435,6.09432605098461,5.74006684363397e-09,4.90866933038435e-06,10.1506577316673
RDH13,0.575591965936056,9.76802775653012,6.08491659813928,6.03071789959172e-09,4.90866933038435e-06,10.1044408585618
PLA2G16,0.409694397741058,9.62118765295014,6.01063321290644,8.89164830610236e-09,6.85639680698451e-06,9.7412599475575
CEBPA,0.447794262099986,10.3304869080518,5.98038142935478,1.04056747765348e-08,7.62267705755056e-06,9.59421618530833
HILPDA,0.610284893657797,9.54150707554239,5.96685807293985,1.11615695293203e-08,7.7870550082891e-06,9.52864609182389
SASH1,0.524831426796746,10.025396821579,5.94789540176495,1.2312750900046e-08,8.19973242893519e-06,9.43687230318915
WDR60,0.356532696303397,8.29644755785047,5.9178773449882,1.43767094992747e-08,9.15796395103796e-06,9.29200023399644
NANS,0.276988011925321,8.44928964874189,5.87700478904961,1.77397157185622e-08,1.05929503351014e-05,9.0955482854381
KRT19,0.534303569956601,11.9078105466972,5.87334991328046,1.80754732357883e-08,1.05929503351014e-05,9.0780267687071
NDRG1,0.486856036351075,11.1386350822237,5.80226780780929,2.59897953169593e-08,1.41175776261342e-05,8.73875317337739
TPBG,0.432632486179651,9.10742501500784,5.80206244912696,2.6016967845582e-08,1.41175776261342e-05,8.73777713854088
PROCR,0.468054158004932,10.5167992721275,5.71223504258987,4.09970324634368e-08,2.14516972364933e-05,8.31315167495562
SFXN3,0.397795936611193,9.05124594594826,5.69684445777578,4.42982204396564e-08,2.21770433241451e-05,8.24086373173194
C18orf8,-0.256722459753377,9.45894818024217,-5.69190975414064,4.5410640893069e-08,2.21770433241451e-05,8.21771496366527
OLFML3,-0.420289057463943,9.03994569730586,-5.65095429953436,5.57590163175966e-08,2.63435752822452e-05,8.02613794510814
MFF,-0.213273932035468,9.52620164903336,-5.64467015290858,5.75383529473651e-08,2.63435752822452e-05,7.99682909193149
PAPPA2,0.592234246848692,11.8417838733615,5.63649972435456,5.99348725389116e-08,2.6609267199018e-05,7.95875724887085
TMEM139,-0.353872167757126,9.08056055680605,-5.61749575122521,6.58922240580402e-08,2.83937345492455e-05,7.87035540012705
CYTH3,-0.337340577568384,9.98560131298553,-5.57865121040447,7.99219278893495e-08,3.34553190144817e-05,7.69032052383329
FLT1,0.587846971909382,11.0716443270807,5.5641768833838,8.58625616397175e-08,3.49436775162084e-05,7.62346338491549
ANKRD37,0.639578700993927,8.1310578640262,5.54694020856414,9.35003795220487e-08,3.70236232534469e-05,7.54400892855275
PPAP2B,-0.34556577050159,12.0329105419594,-5.53784340580261,9.7794481951977e-08,3.77049198704846e-05,7.50214733120029
MIIP,0.377745032715866,7.96279922920612,5.52926489726963,1.020198112436e-07,3.82310801844487e-05,7.46271595819144
TMEM136,-0.370574428640694,8.14979607601275,-5.5246264900806,1.04378077085383e-07,3.82310801844487e-05,7.4414136550992
TRIM24,0.338967355543604,8.99972662131776,5.50156665464296,1.16914106400565e-07,4.17782578749923e-05,7.33570008851192
NRIP1,0.571833398780489,10.2888797186545,5.49608302818127,1.20104672003613e-07,4.18965130839272e-05,7.31060826190234
TREM1,0.747501305327511,8.46309198830203,5.48602330392855,1.26179911794762e-07,4.29921369233735e-05,7.26462415882397
PVRL4,0.581625285886368,9.83585422902912,5.47359561432563,1.34099870058551e-07,4.46522090051778e-05,7.20789979665928
GCLM,-0.338078156085794,8.27732396795903,-5.41334021510052,1.79901949133531e-07,5.78420963147916e-05,6.93419508278544
BHLHE40,0.654159508029476,9.90781202994458,5.41139727739642,1.81607837723051e-07,5.78420963147916e-05,6.92540610427206
RIMS3,-0.400101276343824,7.45238825737856,-5.4066212380168,1.85868420195784e-07,5.79395366869878e-05,6.90381121172096
EPHB6,-0.323762057801681,7.79071038023491,-5.38227710278786,2.09143666999089e-07,6.38367471917429e-05,6.79395519281133
LRIG3,-0.49794633816705,8.2632447109289,-5.32083030505055,2.81237069131801e-07,8.33167299998676e-05,6.51828423981045
ARMCX1,-0.284386614935252,7.89420259710963,-5.31663326013325,2.86959988391539e-07,8.33167299998676e-05,6.49953975238751
F13A1,-0.361820674821226,12.1649024732634,-5.31441897969149,2.90024792163896e-07,8.33167299998676e-05,6.4896549097155
TBC1D22A,0.202535381884756,9.22605229587685,5.28052958607734,3.41101424907182e-07,9.61053264675984e-05,6.3387473152974
HSD17B1,-0.317836769669173,12.0661491136158,-5.26400884477339,3.69074250898782e-07,0.000102024657545624,6.26544021355904
RCAN1,-0.338220492940474,9.04878602757085,-5.25477816270594,3.8566216588769e-07,0.000104635859118899,6.22455524754194
PSMG3,0.224161030838781,8.53150856195974,5.24928825875364,3.95869182195118e-07,0.000105452352515285,6.20026435458586
GAPDH,0.427311037036787,12.2583454695273,5.19403838412879,5.14358065090205e-07,0.000134568928779225,5.95685545887467
DIO2,0.59157123445106,7.34429603642565,5.18284267531615,5.42258602652838e-07,0.000139379487499416,5.90776583681988
NPC1,-0.215066432566102,10.5071132789011,-5.15899947474932,6.06663975282682e-07,0.000150816542679395,5.80348530683855
NEK11,0.407172760423292,7.51611735032605,5.15876158628255,6.07342571707346e-07,0.000150816542679395,5.80244669468691
INHA,0.507062417487461,8.9183288885563,5.15416717073055,6.20594062407769e-07,0.000151538726805604,5.78239469687756
SMAD4,-0.286543820477052,10.8402009390522,-5.14877538112471,6.36503718224186e-07,0.000152875671732829,5.75887972115564
ERRFI1,0.506013974939069,11.3283552243026,5.14467344971708,6.48871953725524e-07,0.000153332628936011,5.74100252751572
IGSF8,0.371795953730075,8.25253409346454,5.11575839978035,7.42923311641811e-07,0.000168486974302011,5.61528798699238
RFK,0.308036743249554,8.80624401213405,5.1155571564731,7.43622131348689e-07,0.000168486974302011,5.61441490741592
PPARG,0.269062949335515,9.06732423791857,5.1133333768287,7.51386839811428e-07,0.000168486974302011,5.6047689237136
CLDN16,-0.499085196151379,7.7690451809258,-5.1085095310657,7.68501599401804e-07,0.000168486974302011,5.58385562844411
SH3PXD2A,0.354147269756002,9.62881117489679,5.10629772081111,7.76474945661621e-07,0.000168486974302011,5.57427152792817
XAF1,0.302677504603736,8.95152115795414,5.10477735764971,7.82002201388077e-07,0.000168486974302011,5.56768538616404
ACSF2,0.285465991348657,9.05024051024892,5.09344697399691,8.2441355494721e-07,0.000175050478167124,5.51864934319402
CORO2A,0.384823824455771,7.30950141981166,5.07821464257981,8.84962811172388e-07,0.000185222716378381,5.45285612910346
TMEM168,-0.333143531082154,9.36116082727945,-5.04542193182355,1.03031311666064e-06,0.000212607288340776,5.31172103185629
VWA1,0.258551166683041,8.92091218473473,4.98994390936735,1.33049860382743e-06,0.000270737986731607,5.07453652812452
CSNK1E,0.259412860567247,9.17423056100536,4.97390170984643,1.43206539214031e-06,0.000287413562469146,5.00632488834004
ZNF641,-0.269942607292872,7.68747850180379,-4.95923489352384,1.53146971924645e-06,0.000303210308874051,4.94410863364088
CYP2J2,0.400277406423012,9.09269476427785,4.90943851459435,1.92135044941946e-06,0.000375329405792593,4.73392746458879
DPYSL3,-0.242210920314197,8.054590134423,-4.88977671111684,2.10040587789527e-06,0.000404908506803205,4.65138896047278
SOD1,-0.273341608635828,11.6401764250023,-4.87769009181674,2.21838089705921e-06,0.000418754932111248,4.60077745996263
