"cause","effect"
"A2M","CDK2AP2"
"A2M","CTSB"
"A2M","HMOX2"
"A2M","PAEP"
"A2M","PDGFB"
"A2M","TNFRSF14"
"A2M","UFD1L"
"AAMP","MAP1LC3B"
"AANAT","YWHAZ"
"AATF","RB1"
"ABCA1","FADD"
"ABCA1","LIMK1"
"ABCA1","MPP6"
"ABCA1","TIAM1"
"ABCB1","HAX1"
"ABCC2","RDX"
"ABCC9","STX1A"
"ABCF3","HIRIP3"
"ABI1","NCK2"
"ABI1","PAK2"
"ABI1","SOS1"
"ABI1","WASF1"
"ABI3","KRT15"
"ABL1","ABI2"
"ABL1","ADAM15"
"ABL1","BCR"
"ABL1","CABLES1"
"ABL1","CDK5"
"ABL1","DDB1"
"ABL1","MAP4K5"
"ABL1","PAK2"
"ABL1","POLR2A"
"ABL1","PRKDC"
"ABL1","RIN1"
"ABL1","SORBS1"
"ABL1","ST5"
"ABL1","WASF1"
"ABL1","YTHDC1"
"ABL1","YWHAH"
"ABL1","YWHAZ"
"ABLIM1","LDOC1"
"ABLIM1","VIM"
"ABR","PIP5K1C"
"ACACA","ATXN1"
"ACACA","CSNK2A1"
"ACAP1","IFFO1"
"ACE2","NTS"
"ACIN1","ABCF3"
"ACIN1","KLHL26"
"ACP1","CTNNB1"
"ACP1","LCK"
"ACP1","MRPL20"
"ACP1","SFMBT1"
"ACP1","SPTAN1"
"ACP5","MAPK9"
"ACP6","GNG7"
"ACTB","ANXA7"
"ACTB","BCL2L1"
"ACTB","CFL1"
"ACTB","CORO1A"
"ACTB","CPNE2"
"ACTB","FHL3"
"ACTB","H2AFX"
"ACTB","HNRNPAB"
"ACTB","LASP1"
"ACTB","NCALD"
"ACTB","NEBL"
"ACTB","NRAP"
"ACTB","PDLIM5"
"ACTB","PFDN1"
"ACTB","POLR2A"
"ACTB","RCC1"
"ACTB","TK1"
"ACTB","TMSB4X"
"ACTB","TPM1"
"ACTB","TPM2"
"ACTC1","ACTB"
"ACTC1","ACTN4"
"ACTC1","ANG"
"ACTC1","GAPDH"
"ACTC1","LASP1"
"ACTC1","MYLK"
"ACTC1","SYNE2"
"ACTC1","TWF1"
"ACTC1","VCL"
"ACTC1","WAS"
"ACTG1","ABLIM1"
"ACTG1","ACTB"
"ACTG1","ANXA5"
"ACTG1","CFL1"
"ACTG1","CYBB"
"ACTG1","DSTN"
"ACTG1","FHOD1"
"ACTG1","GSN"
"ACTG1","MAPK6"
"ACTG1","PLD1"
"ACTG1","RPS6KA5"
"ACTG1","VASP"
"ACTG1","VCL"
"ACTG1","VIL1"
"ACTG1","WASF1"
"ACTL6A","ARHGDIA"
"ACTL6A","TRRAP"
"ACTL6B","CTBP1"
"ACTN1","COIL"
"ACTN1","CSRP1"
"ACTN1","LPP"
"ACTN1","PDLIM1"
"ACTN1","PDLIM5"
"ACTN1","PKN1"
"ACTN1","ZYX"
"ACTN2","ATXN2"
"ACTN2","CAMK2A"
"ACTN2","DISC1"
"ACTN2","ITGB3BP"
"ACTN2","NRIP1"
"ACTN2","PKN1"
"ACTN2","SNW1"
"ACTN2","SSX2IP"
"ACTN4","ACTN3"
"ACTN4","CAMK2B"
"ACTN4","CAMK2G"
"ACTN4","LRRC7"
"ACTR2","ACTR3"
"ACTR2","HCLS1"
"ACTR2","WASF2"
"ACVR1","AP2B1"
"ACVR1","DUSP13"
"ACVR1","FBXO30"
"ACVR1","FCHO1"
"ACVR1","FGD6"
"ACVR1","FKBP4"
"ACVR1","IKBKB"
"ACVR1","NRAS"
"ACVR1","PAK1"
"ACVR1","RAB17"
"ACVR1","RAB33B"
"ACVR1","RAB3B"
"ACVR1","RASD2"
"ACVR1","RASL12"
"ACVR1","RHOJ"
"ACVR1","SOCS6"
"ACVR1","UBA52"
"ACVR1","UBE2E3"
"ACVR1","WDR61"
"ACVR1B","INHBC"
"ACVR1B","SNX2"
"ACVR2A","BMP6"
"ACVR2A","GDF5"
"ACVR2B","ACVR1B"
"ACVR2B","GDF5"
"ACVR2B","IGSF1"
"ACVR2B","INHBA"
"ACVR2B","SNX2"
"ACVR2B","TGFBRAP1"
"ACVRL1","ACVR2A"
"ACVRL1","TGFBR2"
"ADA","GRB2"
"ADAM15","HCK"
"ADAM17","MAD2L1"
"ADAM17","PTPN3"
"ADAM17","TNFSF11"
"ADAM9","MAD2L2"
"ADAMTS1","A2M"
"ADAMTS10","ANXA7"
"ADAMTS10","PCYT2"
"ADAMTS4","FN1"
"ADAMTS4","SERPINA3"
"ADAMTSL4","FHL3"
"ADAMTSL4","SORBS3"
"ADAP1","ANP32A"
"ADCY6","ATXN1"
"ADCY6","RAF1"
"ADCYAP1","VIPR1"
"ADCYAP1R1","CALM1"
"ADD1","MAP1LC3B"
"ADIPOR1","APPL1"
"ADIPOR2","LSM1"
"ADORA1","EPB41L2"
"ADORA2A","ACTN4"
"ADORA2A","CYTH2"
"ADORA2A","DRD2"
"ADORA2B","DCC"
"ADORA2B","SLC9A3R2"
"ADRA1B","PRKCA"
"ADRA1D","FLNC"
"ADRA1D","SNTA1"
"ADRA1D","SNTB2"
"ADRA2A","GNAI2"
"ADRA2A","PRKCD"
"ADRA2B","YWHAZ"
"ADRA2C","EIF2B1"
"ADRA2C","GNAO1"
"ADRA2C","YWHAZ"
"ADRB1","ARRB1"
"ADRB2","AKAP5"
"ADRB2","ARRB1"
"ADRB2","GRB2"
"ADRB2","GRK6"
"ADRB2","IL1B"
"ADRB2","INSR"
"ADRB2","SLC9A3R1"
"ADRB2","SLC9A3R2"
"ADRBK2","CXCR4"
"AES","GTF2E1"
"AES","HMGB1"
"AES","MED31"
"AFAP1","PRKCB"
"AFAP1","PRKCZ"
"AFF1","MLLT1"
"AFF1","SIAH2"
"AFG3L2","PHC2"
"AFTPH","UBE3A"
"AGER","HMGB1"
"AGFG1","EPS15"
"AGFG1","XPO1"
"AGK","PDLIM1"
"AGT","CMA1"
"AGT","CTSG"
"AGTR1","ARRB1"
"AGTR1","JAK2"
"AGTR1","NOS3"
"AGTR1","PLCG1"
"AHNAK","CDKN2A"
"AHR","CCNT1"
"AHR","GTF2F2"
"AHR","NCOA2"
"AHR","NCOR2"
"AHR","RB1"
"AHR","TAF7"
"AIF1","LCP1"
"AIFM1","WWC1"
"AKAP10","P4HB"
"AKAP10","PRKAR1A"
"AKAP10","VASP"
"AKAP13","CTNNAL1"
"AKAP13","YWHAB"
"AKAP13","YWHAG"
"AKAP13","YWHAZ"
"AKAP5","PRKAR2A"
"AKAP8","AES"
"AKAP8","CCND1"
"AKAP8L","DHX9"
"AKAP8L","LBR"
"AKAP9","PKN1"
"AKAP9","TACC3"
"AKT1","AKT1S1"
"AKT1","AKTIP"
"AKT1","BCL2L11"
"AKT1","BRAF"
"AKT1","CASP3"
"AKT1","CDKN1B"
"AKT1","CHEK1"
"AKT1","CHUK"
"AKT1","DCTN1"
"AKT1","EIF4EBP1"
"AKT1","GSK3A"
"AKT1","GSK3B"
"AKT1","HTT"
"AKT1","IKBKB"
"AKT1","MAP3K11"
"AKT1","MAPKAPK2"
"AKT1","PAK1"
"AKT1","PDK2"
"AKT1","PPP2CA"
"AKT1","PTEN"
"AKT1","RAB3D"
"AKT1","RPS6KB1"
"AKT1","TCL1A"
"AKT1","TRIB3"
"AKT1","TSC2"
"AKT1","WNK1"
"AKT1","YAP1"
"AKT2","AKT1"
"AKT2","AKT1S1"
"AKT2","BCL2A1"
"AKT2","CHUK"
"AKT2","HSP90AA1"
"AKT2","RAB3D"
"AKT2","SLC2A4"
"AKT2","TCL1A"
"AKT2","TRIB3"
"AKT2","TSC2"
"AKTIP","CTBP2"
"ALAS1","CDK5"
"ALAS1","RAP1B"
"ALAS1","STAMBP"
"ALAS1","TK1"
"ALDOA","DYNLL1"
"ALDOA","PDPK1"
"ALDOA","XRN1"
"ALK","PLCG1"
"ALOX12B","LMNA"
"AMFR","GPI"
"AMFR","TOM1L1"
"AMFR","UBE2D2"
"AMFR","UBE2G2"
"AMH","EGFR"
"AMHR2","TGFBR1"
"AMPH","CABIN1"
"AMPH","DNM1"
"AMPH","SH3GL2"
"ANAPC10","CDC27"
"ANAPC5","SMURF1"
"ANAPC7","AKAP1"
"ANGPTL1","TEK"
"ANK1","CD44"
"ANK1","EPB42"
"ANK1","SLC4A1"
"ANK2","L1CAM"
"ANK2","NRCAM"
"ANK3","HOOK1"
"ANKRD11","HDAC4"
"ANKRD11","HDAC5"
"ANKS1B","LRP2"
"ANP32A","SET"
"ANTXR1","BCL2L1"
"ANTXR1","HDAC2"
"ANXA1","COPS6"
"ANXA1","CSAD"
"ANXA1","GAPDH"
"ANXA1","RPA1"
"ANXA1","TRPM7"
"ANXA1","XRCC6"
"ANXA11","PLSCR1"
"ANXA13","NEDD4"
"ANXA2","CD99"
"ANXA2","PCNA"
"ANXA2","S100A10"
"ANXA2","S100A4"
"ANXA2","S100A6"
"ANXA2","SRC"
"ANXA5","EIF4G1"
"ANXA7","ACTL6B"
"ANXA7","APLP1"
"ANXA7","CCDC90B"
"ANXA7","CDK4"
"ANXA7","CPNE2"
"ANXA7","CPSF3L"
"ANXA7","DDAH2"
"ANXA7","FBN3"
"ANXA7","INPP5K"
"ANXA7","MSH2"
"ANXA7","OTUB1"
"ANXA7","PDHB"
