"Name","K","Kin","Kout","TypeI","TypeII"
"AAMP",1,0,1,1,0
"AANAT",1,0,1,1,0
"ABCB1",1,0,1,1,0
"ABCC9",1,0,1,1,0
"ABR",1,0,1,1,0
"ACAP1",1,0,1,1,0
"ACE2",1,0,1,1,0
"ACP6",1,0,1,2,0
"ACTR2",3,0,3,2,0
"ACVR2B",6,0,6,2,0
"ACVRL1",2,0,2,2,0
"ADA",1,0,1,1,0
"ADAMTS10",2,0,2,2,0
"ADAMTS4",2,0,2,1,0
"ADCYAP1",1,0,1,1,0
"ADCYAP1R1",1,0,1,1,0
"ADIPOR1",1,0,1,2,0
"ADIPOR2",1,0,1,2,0
"ADORA2A",3,0,3,2,0
"ADORA2B",2,0,2,2,0
"ADRA1B",1,0,1,1,0
"ADRA1D",3,0,3,2,0
"ADRA2B",1,0,1,1,0
"ADRA2C",3,0,3,2,0
"AFF1",2,0,2,1,0
"AGER",1,0,1,1,0
"AGTR1",4,0,4,1,0
"AHNAK",1,0,1,1,0
"AIF1",1,0,1,2,0
"ALK",1,0,1,1,0
"ALOX12B",1,0,1,1,0
"AMFR",4,0,4,2,0
"AMH",1,0,1,1,0
"AMHR2",1,0,1,1,0
"ANGPTL1",1,0,1,1,0
"ANKS1B",1,0,1,1,0
"ANTXR1",2,0,2,1,0
"ANXA1",6,0,6,2,0
"ANXA11",1,0,1,1,0
"AP1M2",5,0,5,2,0
"AP1S2",1,0,1,1,0
"AP3B2",1,0,1,1,0
"AP4M1",1,0,1,2,0
"APBB1IP",2,0,2,1,0
"APBB3",1,0,1,2,0
"APCS",4,0,4,2,0
"APEH",1,0,1,1,0
"APEX2",2,0,2,1,0
"APOA1BP",1,0,1,1,0
"APOA2",1,0,1,2,0
"ARHGAP1",7,0,7,2,0
"ARHGAP15",2,0,2,1,0
"ARHGAP9",1,0,1,1,0
"ARHGDIB",6,0,6,2,0
"ARHGEF12",1,0,1,1,0
"ARID4A",1,0,1,1,0
"ARL4D",1,0,1,2,0
"ARL6IP1",1,0,1,1,0
"ARMCX3",1,0,1,1,0
"ARPC1B",2,0,2,1,0
"ARPC4",2,0,2,2,0
"ARPC5",1,0,1,1,0
"ASCL1",1,0,1,2,0
"ASGR2",1,0,1,2,0
"ATF5",1,0,1,1,0
"ATG9A",1,0,1,2,0
"ATP1A1",1,0,1,1,0
"ATP5A1",3,0,3,1,0
"ATP6V1A",2,0,2,1,0
"ATP6V1E1",3,0,3,2,0
"ATXN7",1,0,1,2,0
"AVPR1A",1,0,1,1,0
"AVPR2",3,0,3,2,0
"BAI1",2,0,2,1,0
"BAI2",1,0,1,1,0
"BAX",8,0,8,2,0
"BCL3",5,0,5,1,0
"BDKRB2",4,0,4,2,0
"BEND7",4,0,4,2,0
"BICD2",2,0,2,2,0
"BIRC6",1,0,1,2,0
"BMP1",5,0,5,2,0
"BMP2",1,0,1,1,0
"BMP7",1,0,1,2,0
"BMPR1B",10,0,10,2,0
"BNIP3L",3,0,3,2,0
"BRAP",1,0,1,1,0
"BRD8",1,0,1,1,0
"BRSK1",1,0,1,1,0
"BTC",1,0,1,1,0
"BUB1B",2,0,2,2,0
"C10orf12",1,0,1,1,0
"C19orf57",1,0,1,2,0
"C1orf94",2,0,2,1,0
"C3AR1",1,0,1,2,0
"C5",1,0,1,2,0
"C5AR1",4,0,4,2,0
"CA12",1,0,1,1,0
"CABLES2",1,0,1,1,0
"CACNB1",1,0,1,1,0
"CACYBP",1,0,1,1,0
"CALCA",1,0,1,2,0
"CALCRL",2,0,2,2,0
"CALD1",2,0,2,1,0
"CAMK4",1,0,1,1,0
"CAPN2",1,0,1,2,0
"CAPRIN1",1,0,1,2,0
"CAPZA1",3,0,3,1,0
"CASP2",5,0,5,2,0
"CASP4",2,0,2,2,0
"CASR",3,0,3,1,0
"CAT",1,0,1,1,0
"CATSPER1",1,0,1,1,0
"CAV2",6,0,6,2,0
"CBS",1,0,1,1,0
"CCBP2",2,0,2,2,0
"CCDC113",1,0,1,1,0
"CCDC136",1,0,1,1,0
"CCK",3,0,3,2,0
"CCL13",2,0,2,2,0
"CCL16",1,0,1,2,0
"CCL20",1,0,1,1,0
"CCL25",1,0,1,2,0
"CCL4",4,0,4,2,0
"CCL7",1,0,1,2,0
"CCNB1",11,0,11,2,0
"CCNB2",3,0,3,1,0
"CCNC",2,0,2,1,0
"CCNE2",2,0,2,1,0
"CCNL2",1,0,1,1,0
"CCR4",2,0,2,2,0
"CCRL1",6,0,6,2,0
"CD14",3,0,3,2,0
"CD151",2,0,2,2,0
"CD19",11,0,11,2,0
"CD1D",1,0,1,1,0
"CD226",2,0,2,2,0
"CD28",10,0,10,2,0
"CD2BP2",1,0,1,2,0
"CD36",5,0,5,2,0
"CD3G",1,0,1,1,0
"CD53",3,0,3,2,0
"CD55",1,0,1,1,0
"CD59",1,0,1,1,0
"CD63",1,0,1,2,0
"CD80",1,0,1,1,0
"CD8A",1,0,1,1,0
"CD93",6,0,6,2,0
"CDC42EP1",1,0,1,1,0
"CDC5L",1,0,1,2,0
"CDCA3",1,0,1,1,0
"CDH15",2,0,2,2,0
"CDK5RAP1",1,0,1,1,0
"CDKN3",2,0,2,2,0
"CDT1",2,0,2,1,0
"CELSR1",1,0,1,2,0
"CELSR2",1,0,1,2,0
"CELSR3",5,0,5,2,0
"CENPB",2,0,2,2,0
"CENPE",1,0,1,1,0
"CENPT",1,0,1,2,0
"CEP57",1,0,1,1,0
"CEP76",2,0,2,2,0
"CETP",2,0,2,2,0
"CFDP1",1,0,1,1,0
"CGN",1,0,1,2,0
"CHAF1B",2,0,2,1,0
"CHCHD3",1,0,1,1,0
"CHD8",1,0,1,1,0
"CHEK2",13,0,13,2,0
"CHMP4A",1,0,1,1,0
"CHMP4C",1,0,1,1,0
"CHRM2",2,0,2,1,0
"CHRM3",1,0,1,1,0
"CHRM4",3,0,3,2,0
"CHRNA4",3,0,3,2,0
"CHRNA7",1,0,1,1,0
"CHRND",1,0,1,1,0
"CKAP5",1,0,1,1,0
"CKB",1,0,1,1,0
"CKM",1,0,1,1,0
"CKS1B",1,0,1,1,0
"CLEC3B",2,0,2,1,0
"CLEC5A",1,0,1,1,0
"CLIC1",3,0,3,2,0
"CLIC4",1,0,1,1,0
"CLK1",1,0,1,1,0
"CLSTN1",1,0,1,1,0
"CLTB",1,0,1,1,0
"CMTM3",3,0,3,1,0
"CNGB1",1,0,1,1,0
"CNNM3",2,0,2,1,0
"CNOT2",1,0,1,2,0
"CNOT4",1,0,1,1,0
"CNOT7",3,0,3,2,0
"CNR1",1,0,1,1,0
"CNTFR",1,0,1,2,0
"CNTNAP1",1,0,1,1,0
"CNTROB",2,0,2,2,0
"COL13A1",1,0,1,2,0
"COL17A1",4,0,4,2,0
"COL4A4",2,0,2,1,0
"COL4A6",2,0,2,1,0
"COL8A1",1,0,1,1,0
"COLQ",1,0,1,2,0
"COMT",2,0,2,2,0
"COPG2",1,0,1,1,0
"COPS7B",1,0,1,1,0
"CPNE6",3,0,3,2,0
"CPSF1",5,0,5,1,0
"CREB3L3",2,0,2,2,0
"CRHR2",1,0,1,2,0
"CSF1",2,0,2,2,0
"CSF1R",7,0,7,2,0
"CSF2RA",2,0,2,1,0
"CSF3R",5,0,5,2,0
"CSTA",2,0,2,1,0
"CTNNBIP1",1,0,1,1,0
"CTNND2",3,0,3,2,0
"CTR9",1,0,1,1,0
"CTSK",3,0,3,2,0
"CTSS",2,0,2,2,0
"CUX1",2,0,2,1,0
"CXCL10",3,0,3,2,0
"CXCL11",1,0,1,1,0
"CXCL9",1,0,1,1,0
"CXCR3",1,0,1,2,0
"CXCR5",1,0,1,1,0
"CYTH3",1,0,1,2,0
"DALRD3",1,0,1,1,0
"DAP3",1,0,1,1,0
"DAPK1",2,0,2,1,0
"DARC",2,0,2,2,0
"DARS",1,0,1,2,0
"DBF4",3,0,3,2,0
"DDR2",2,0,2,2,0
"DEK",1,0,1,1,0
"DES",1,0,1,1,0
"DGCR2",1,0,1,1,0
"DHRS1",1,0,1,1,0
"DIAPH2",1,0,1,1,0
"DIS3L2",1,0,1,1,0
"DLK1",1,0,1,1,0
"DLX5",1,0,1,2,0
"DMAP1",1,0,1,1,0
"DNAJC1",1,0,1,1,0
"DNAJC13",1,0,1,1,0
"DNAJC3",3,0,3,2,0
"DNMT1",5,0,5,1,0
"DNMT3L",2,0,2,1,0
"DNPEP",2,0,2,1,0
