"ONTOLOGY","ID","Description","p.adjust","geneID","dbPEC"
"BP","GO:0043410","positive regulation of MAPK cascade",1.53251627069824e-23,"PIK3CB/OPRK1/GADD45G/EFNA1/MAP3K8/FZD7/PRKCZ/F2RL1/PDGFRA/CXCR4/PRKCE/CD4/UBB/KITLG/PTK2B/PLCB1/CRKL/MAPK8IP3/CALCR/MAPK11/TRAF2/PIK3CG/ADRA2C/SORBS3/C5/JAK2/HMGB1/CD81/TNFRSF11A/ERP29/DVL2/PSAP/LRP1/TLR6/SDCBP/S1PR2/EZH2/SHC1/MADD/ABL1/APP/ARRB1/CCL21/CCR1/CIB1/CSK/DVL3/GATA4/GNAI2/HRAS/INSR/IRAK1/MAP2K1/MAP2K6/MAP2K7/MAP3K14/MAPK8IP2/MINK1/NOTCH1/NTF3/NTRK1/PAK1/PRKD2/PRMT1/PTPRC/RAF1/RAMP3/RAP1A/ROCK1/SRC/TRAF4/TRAF6/TRIM5/ADRA1B/ADRA2B/ALK/CASR/CAV2/CCL19/CD27/CSF1R/EDA2R/EDN3/EPHA4/EPHA8/FGFR2/FSHR/FZD5/FZD8/GPNMB/GPR37/GRM4/HTR2C/LPAR1/LTBR/MAGED1/MAP3K10/OPRM1/PDCD10/PEA15/PTPRJ/ROBO1/ROR2/SSTR4/STK3/TP73/UBE2N/WNT7B","Yes"
"BP","GO:0071900","regulation of protein serine/threonine kinase activity",3.46355854092639e-21,"PIK3CB/GADD45G/CALM1/MAP3K8/CXCR4/CAV1/UBB/HHEX/KITLG/DUSP4/SFN/PTK2B/CRKL/MAPK8IP3/CCNT2/MAPK11/TRAF2/PIK3CG/C5/JAK2/CD81/TNFRSF11A/ERP29/PRKAR2A/PPP2CA/DVL2/TLR6/S1PR2/EZH2/HGS/SHC1/MADD/ABL1/ARRB1/CDC25C/CIB1/CSK/DAZAP2/DVL3/GPS1/HIPK3/HRAS/HTT/IGF1R/INSR/IRAK1/MAP2K1/MAP2K6/MAP2K7/MAP3K14/MBIP/NTF3/NTRK1/PAK1/PKD1/PLK1/PROX1/PTPN6/PTPRC/RAF1/SRC/TRAF6/YWHAG/ADRA2B/ALK/CCL19/CCNB1/CCNC/CCNK/CCNL2/CDK5R2/CDK5RAP1/CDKN2C/CDKN3/CSF1R/DBF4/EDN3/EPHA4/FZD5/FZD8/GRM4/INPP5K/IPO5/LPAR1/LRP5/MAGED1/MAP3K10/NF1/PDCD10/PEA15/PTPRJ/RASIP1/ROBO1/ROR2/SMPD1/SORL1/STK3/STK38/TP73/UBE2N/WNT7B","Yes"
"MF","GO:0044389","ubiquitin-like protein ligase binding",6.44309082339085e-19,"TRAF3/CXCR4/GABARAPL2/STAM/PTK2B/BRCA1/TXNIP/TRAF2/XRCC5/HSP90AA1/ERBB3/CKB/PXN/TOLLIP/PRKAR2A/CEBPB/TRAF5/SUMO2/TANK/HGS/ARRB1/BAG1/BID/DLG3/GABARAP/GSK3B/HDAC6/ITCH/JAK1/MAP1LC3B/MDM2/NEDD8/PAX6/PIAS4/POLR2A/PRKACA/RBX1/RPA2/SMAD3/SMAD5/SMAD6/SRC/STX8/SUMO1/TRAF1/TRAF4/TRAF6/TRIM37/TUBB/VCL/CCNB1/DTX1/DTX3L/FATE1/FHIT/FZD5/FZD6/FZD8/GPR37/LTBR/MC1R/MOAP1/MYOD1/PTPRN/RAD18/RNF40/RTN4/STAT1/TUBA1B/UBE2N/UBE2W/USP2/ZNF746","Yes"
"CC","GO:0043235","receptor complex",1.01196843057355e-18,"GABRB1/TRAF3/PTPRB/IL2RB/ITPR3/CD4/PTK2B/OSMR/CALCR/TRAF2/PLXNB1/GRIN2D/ERBB3/TLR1/ITGA2/ITGA9/TOLLIP/TRAF5/LRP1/BIRC2/TLR6/SHANK2/DLG4/SDCBP/TRADD/AIP/APP/CD3E/CHRNA4/CHUK/DLG3/EPS8/GRIA4/GRID2/IGF1R/INSR/IRAK1/ITGA3/NOTCH1/NTRK1/PTPN6/RAMP3/SHANK1/SMAD3/TRAF6/ADCYAP1R1/CD3G/CD6/CNTFR/FSHR/GABBR1/GABRG2/GPR37/GRM7/HTR3A/IL13RA1/IL18R1/IL18RAP/ITGB4/ITGB6/ITGB7/LOXL4/LRP5/LRP8/NPR1/PLXNA2/PLXNA3/PTH1R/PTPRA/PTPRN2","Yes"
"BP","GO:0043405","regulation of MAP kinase activity",1.08438495747094e-16,"PIK3CB/GADD45G/MAP3K8/CXCR4/CAV1/UBB/KITLG/DUSP4/PTK2B/CRKL/MAPK8IP3/MAPK11/TRAF2/PIK3CG/C5/JAK2/CD81/TNFRSF11A/ERP29/PPP2CA/DVL2/TLR6/S1PR2/EZH2/HGS/SHC1/MADD/ARRB1/CSK/DVL3/GPS1/HIPK3/HRAS/IGF1R/INSR/IRAK1/MAP2K1/MAP2K6/MAP2K7/MAP3K14/MBIP/NTF3/NTRK1/PAK1/PTPN6/PTPRC/RAF1/SRC/TRAF6/ADRA2B/ALK/CCL19/EDN3/EPHA4/FZD5/FZD8/GRM4/INPP5K/LPAR1/MAGED1/MAP3K10/NF1/PDCD10/PEA15/PTPRJ/ROBO1/ROR2/SMPD1/SORL1/STK38/TP73/UBE2N/WNT7B","Yes"
"CC","GO:0045121","membrane raft",2.20001339378177e-16,"MME/EZR/PODXL/PRKCZ/FURIN/CD4/CAV1/BMPR2/HK1/TUBA1A/PTK2B/ATP1B1/DLG1/TLR1/GNAI1/JAK2/CAPN2/PRKAR2A/PPP2CA/BIRC2/TLR6/RTN4R/ANK2/SDCBP/TRADD/APP/BTK/CD2/CSK/DMD/FADD/FYN/GNAI2/HDAC6/INSR/LCK/OPRD1/PLSCR1/PRKACA/PRTN3/PTPRC/RGS19/S1PR1/SMURF2/SRC/TUBB/VDAC1/ADCYAP1R1/ADRA1B/AHNAK/CAV2/CD226/GPC1/KCNQ1/LAT/LRP8/MS4A1/NOS1AP/OPRM1/P2RY12/PAG1/RHOQ/SLC6A3/STAT6/STOM/TRPC4/TRPC5/TUBA1B","Yes"
"CC","GO:0098857","membrane microdomain",2.20001339378177e-16,"MME/EZR/PODXL/PRKCZ/FURIN/CD4/CAV1/BMPR2/HK1/TUBA1A/PTK2B/ATP1B1/DLG1/TLR1/GNAI1/JAK2/CAPN2/PRKAR2A/PPP2CA/BIRC2/TLR6/RTN4R/ANK2/SDCBP/TRADD/APP/BTK/CD2/CSK/DMD/FADD/FYN/GNAI2/HDAC6/INSR/LCK/OPRD1/PLSCR1/PRKACA/PRTN3/PTPRC/RGS19/S1PR1/SMURF2/SRC/TUBB/VDAC1/ADCYAP1R1/ADRA1B/AHNAK/CAV2/CD226/GPC1/KCNQ1/LAT/LRP8/MS4A1/NOS1AP/OPRM1/P2RY12/PAG1/RHOQ/SLC6A3/STAT6/STOM/TRPC4/TRPC5/TUBA1B","Yes"
"CC","GO:0098589","membrane region",2.89795342558445e-16,"MME/EZR/PODXL/PRKCZ/FURIN/CD4/CAV1/BMPR2/HK1/TUBA1A/PTK2B/ATP1B1/BICD2/DLG1/TLR1/GNAI1/JAK2/CAPN2/PRKAR2A/PPP2CA/BIRC2/TLR6/RTN4R/ANK2/SDCBP/TRADD/APP/BTK/CD2/CSK/DMD/FADD/FYN/GNAI2/HDAC6/INSR/LCK/OPRD1/PLSCR1/PRKACA/PRTN3/PTPRC/RGS19/S1PR1/SMURF2/SRC/TUBB/VDAC1/ADCYAP1R1/ADRA1B/AHNAK/CAV2/CD226/GPC1/KCNQ1/LAT/LRP8/MS4A1/NOS1AP/OPRM1/P2RY12/PAG1/RHOQ/SLC6A3/STAT6/STOM/TRPC4/TRPC5/TUBA1B","Yes"
"BP","GO:0050804","modulation of chemical synaptic transmission",3.51189524784785e-16,"MME/PRKCZ/PRKCE/ITPR3/SYT1/STX1A/PTK2B/PLCB1/MEF2C/PFN2/GRIN2D/GNAI1/JAK2/SYT7/DRD1/RASGRF1/CREB1/SHANK2/DLG4/SH3GL1/S1PR2/GIPC1/ARF1/ABL1/AKAP9/APP/BCR/CACNA1A/CAMK2A/CDK5/CHRNA4/DISC1/FYN/GIT1/GNAI2/GRID2/GRM5/GSK3B/HAP1/HOMER1/HRAS/KAT2A/MAP1B/MAPK8IP2/MECP2/NTRK1/PRKACA/PRKCB/PRKCG/RAB8A/RAP1A/SHANK1/SNAP25/SRC/SRF/STX3/STXBP1/SYT4/YWHAG/CACNA1D/DRD3/DRD5/EPHA4/GRIK1/GRIK3/HTR1B/LILRB2/LRP8/MPP2/NCDN/NF1/NLGN2/NRXN1/PPP1R9B/PTPRA/RIMS2/ROR2/SCTR/SLC8A3/SNCG/TACR2","Yes"
"BP","GO:0099177","regulation of trans-synaptic signaling",3.51189524784785e-16,"MME/PRKCZ/PRKCE/ITPR3/SYT1/STX1A/PTK2B/PLCB1/MEF2C/PFN2/GRIN2D/GNAI1/JAK2/SYT7/DRD1/RASGRF1/CREB1/SHANK2/DLG4/SH3GL1/S1PR2/GIPC1/ARF1/ABL1/AKAP9/APP/BCR/CACNA1A/CAMK2A/CDK5/CHRNA4/DISC1/FYN/GIT1/GNAI2/GRID2/GRM5/GSK3B/HAP1/HOMER1/HRAS/KAT2A/MAP1B/MAPK8IP2/MECP2/NTRK1/PRKACA/PRKCB/PRKCG/RAB8A/RAP1A/SHANK1/SNAP25/SRC/SRF/STX3/STXBP1/SYT4/YWHAG/CACNA1D/DRD3/DRD5/EPHA4/GRIK1/GRIK3/HTR1B/LILRB2/LRP8/MPP2/NCDN/NF1/NLGN2/NRXN1/PPP1R9B/PTPRA/RIMS2/ROR2/SCTR/SLC8A3/SNCG/TACR2","Yes"
