"","Name","K","Kin","Kout","TypeI","TypeII","logFC"
"1","LEP",2,0,2,2,0,2.60066041506543
"2","TREM1",1,0,1,1,0,1.20313293958105
"3","BHLHE40",2,0,2,2,0,0.992388178566689
"4","ENG",5,0,5,2,0,0.924580712874763
"5","PVRL4",1,0,1,2,0,0.91640530280627
"6","NDRG1",1,0,1,1,0,0.758350867685843
"7","PROCR",1,0,1,1,0,0.750197678453929
"8","LIMD1",1,0,1,1,0,0.746921125317408
"9","FLNB",5,3,2,0,1,0.624931479020496
"10","SH3PXD2A",1,0,1,1,0,0.596391832031959
"11","OLFML3",1,0,1,1,0,0.567552327656118
"12","HTRA1",10,1,9,0,1,0.558276292967653
"13","LYN",37,17,20,0,1,0.539292704089943
"14","MMP1",6,4,2,0,1,0.532558083368401
"15","PIK3CB",9,6,3,0,1,0.532380877645334
"16","KIT",20,6,14,0,1,0.523934128589503
"17","IL1R2",4,0,4,2,0,0.520234688212718
"18","NTRK2",4,0,4,2,0,0.498498965206636
"19","LTF",1,0,1,1,0,0.498276030222295
"20","OPRK1",2,0,2,2,0,0.49337915620383
"21","FABP4",1,0,1,1,0,0.487222312256383
"22","GAPDH",22,6,16,0,1,0.479700892537172
"23","PRG2",1,0,1,1,0,0.467813290075652
"24","PHYHIP",7,3,4,0,1,0.467740325518907
"25","AQP1",2,0,2,1,0,0.46556713579221
"26","FN1",26,15,11,0,1,0.463873102493844
"27","TRIM24",12,8,4,0,1,0.463730786889288
"28","CEBPA",13,4,9,0,1,0.461978149299634
"29","PTPRD",3,0,3,2,0,0.455872112805556
"30","IGF1",7,5,2,0,1,0.45248132371807
"31","IL8",3,2,1,0,1,0.447743906861882
"32","IL1RAP",7,3,4,0,1,0.428065052779557
"33","VCAM1",3,1,2,0,1,0.42515480652737
"34","DLX5",1,0,1,1,0,0.422046811612423
"35","SLC1A6",2,0,2,1,0,0.405530575884253
"36","DDR1",3,1,2,0,1,0.398312950144586
"37","CALM1",47,24,23,0,1,0.393329768090421
"38","MME",6,0,6,2,0,0.389828042339312
"39","STC2",2,0,2,2,0,0.386289812436763
"40","SERPINE1",1,0,1,1,0,0.382892714950273
"41","GABRB1",1,0,1,2,0,0.38159308601642
"42","TUBA4A",11,4,7,0,1,0.380095996466123
"43","PRKD3",1,0,1,1,0,0.375449757514371
"44","COL1A2",16,5,11,0,1,0.373525091451965
"45","TLR7",2,0,2,2,0,0.369373717319562
"46","EPHB6",4,0,4,2,0,0.368174925260402
"47","GADD45G",17,9,8,0,1,0.367378867930038
"48","CYBB",1,0,1,1,0,0.365905035387353
"49","EFNA1",4,2,2,0,1,0.356355719493077
"50","RASGRF2",1,0,1,2,0,0.354393283999847
"51","GLUL",2,0,2,1,0,0.354101968167871
"52","PPL",4,1,3,0,1,0.35338024469643
"53","C10orf10",2,0,2,1,0,0.351813400728608
"54","CHN1",3,0,3,1,0,0.350187405717715
"55","S100A6",2,1,1,0,1,0.347478186041576
"56","EZR",25,12,13,0,1,0.345694462096084
"57","CCBP2",5,0,5,2,0,0.342947634609033
"58","NRCAM",3,1,2,0,1,0.342516614393066
"59","PITX2",1,0,1,1,0,0.340387219424538
"60","PIK3R1",54,27,27,0,1,0.340363758716897
"61","UGP2",1,0,1,1,0,0.336866845824593
"62","KRT17",2,0,2,2,0,0.33450706345001
"63","CCDC113",1,0,1,1,0,0.33375352776895
"64","MYCN",1,0,1,1,0,0.333654452596454
"65","PFKP",1,0,1,1,0,0.332250434333343
"66","AIF1",1,0,1,2,0,0.330382875600042
"67","BAD",22,10,12,0,1,0.32780072119829
"68","IL2RB",7,0,7,2,0,0.325382453088382
