,logFC,AveExpr,t,P.Value,adj.P.Val,B
LEP,2.60066041506543,10.4114614112572,15.025845451512,2.111484136564e-39,3.09353540847991e-35,78.5840754824009
HTRA4,1.58583707434928,10.4944288190609,14.1181638652513,7.26956043593586e-36,5.32531649734481e-32,70.5887241738464
FSTL3,1.55170566435801,11.4204822776283,14.0199548349139,1.74237308450598e-35,8.50916935369902e-32,69.730453740968
ERO1L,0.676343726333906,9.45171139248929,13.6039841332553,6.94091090391647e-34,2.23332514123411e-30,66.1124529299814
ENG,0.924580712874763,11.3538304952286,13.5933762205746,7.62174985063857e-34,2.23332514123411e-30,66.0205738624839
FLT1,1.03427605670515,11.3008012515086,13.4572135586133,2.52863428065215e-33,6.17450347430577e-30,64.8430210957811
SPAG4,0.776529034191794,7.80759114606303,13.2658801568764,1.35569743670843e-32,2.83747473503075e-29,63.1941873109423
TPBG,0.725603887389903,9.3151683792776,12.8989902639317,3.32331535633773e-31,6.08623666071301e-28,60.0528841019605
SASH1,0.892943299072726,10.2657839597125,12.8699486504384,4.27581649799849e-31,6.96055416801955e-28,59.8054394348487
KRT19,0.76782206057379,12.0288384926562,12.538761993669,7.46896305882234e-30,1.09427777774806e-26,56.9969922194893
PROCR,0.750197678453929,10.6856009955876,12.420949536566,2.05327084036872e-29,2.73477009838565e-26,56.0041288261015
INHA,0.989837851641003,9.20273419777242,12.3226273771558,4.7625070345068e-29,5.8146242135466e-26,55.1781188711994
SLC6A8,0.626597077584321,9.10082953396013,12.196346192864,1.3981842798766e-28,1.57575368342092e-25,54.1207912590807
HEXB,0.597238026023765,12.7416335758597,12.1680488396282,1.77880427711852e-28,1.86151867600453e-25,53.8844246105468
NDRG1,0.758350867685843,11.2942070532168,12.1546173573342,1.99401287793585e-28,1.94761884497588e-25,53.7723049062826
PVRL4,0.91640530280627,10.0312267214211,12.1358548557182,2.33872729656417e-28,2.1415433513726e-25,53.6157633282527
FLNB,0.624931479020496,10.1956639198658,11.9937683924702,7.79990987384494e-28,6.72214585657072e-25,52.4333197611058
WDR60,0.519330085458217,8.39636975936306,11.8390082937998,2.87826367303173e-27,2.34274672631044e-24,51.1516479083821
EFNB1,0.522432756337187,9.08572921854781,11.7894732153335,4.36526155605464e-27,3.36607616093455e-24,50.7428268571829
HK2,1.07811546768907,8.1923960826995,11.7424772535476,6.47644338719316e-27,4.74431860328835e-24,50.3556067354232
PAPPA2,0.884125466986431,11.9779449208168,11.7320414238548,7.06876337316246e-27,4.93164058000967e-24,50.2697073341903
PLA2G16,0.579996141740601,9.72139819183827,11.6725893412834,1.16306312205909e-26,7.74547172785805e-24,49.7809462883732
SH3PXD2A,0.596391832031959,9.73778890211014,11.626430775916,1.71079131583984e-26,1.08977406818998e-23,49.4021836460853
