"cause","effect"
"A1CF","SYNCRIP"
"A2M","ANXA6"
"A2M","CDK2AP2"
"A2M","CTSB"
"A2M","HMOX2"
"A2M","PAEP"
"A2M","RPP14"
"A2M","TNFRSF14"
"AAMP","MAP1LC3B"
"AANAT","PRKACA"
"AANAT","YWHAZ"
"AASDHPPT","MDFI"
"AATF","RB1"
"ABCA1","FADD"
"ABCA1","LIMK1"
"ABCA1","PDLIM4"
"ABCA1","TIAM1"
"ABCB1","HAX1"
"ABCC9","STX1A"
"ABCF3","HIRIP3"
"ABI1","EPS8"
"ABI1","PAK2"
"ABI1","SOS1"
"ABI3","KRT15"
"ABL1","ABI2"
"ABL1","ADAM15"
"ABL1","ATM"
"ABL1","BCR"
"ABL1","CDKN1B"
"ABL1","POLR2A"
"ABL1","PRKD1"
"ABL1","PRKDC"
"ABL1","RAD9A"
"ABL1","SFN"
"ABL1","SORBS2"
"ABL1","WASF1"
"ABL1","YWHAE"
"ABLIM1","CALCOCO2"
"ABLIM1","HOOK2"
"ABLIM1","VIM"
"ABLIM1","YWHAG"
"ACACA","ATXN1"
"ACACA","CSNK2A1"
"ACACA","CSNK2A2"
"ACE2","AGT"
"ACE2","NTS"
"ACIN1","KLHL26"
"ACP1","CTNNB1"
"ACP1","LCK"
"ACP1","MRPL20"
"ACP1","SFMBT1"
"ACP5","MAPK9"
"ACP6","GNG7"
"ACTA2","CFL1"
"ACTB","ANXA7"
"ACTB","BCL2L1"
"ACTB","CCT5"
"ACTB","CFL1"
"ACTB","CORO1A"
"ACTB","CPNE2"
"ACTB","CSNK1A1"
"ACTB","EEF1A1"
"ACTB","FHL3"
"ACTB","H2AFX"
"ACTB","HNRNPAB"
"ACTB","LASP1"
"ACTB","NCALD"
"ACTB","NEBL"
"ACTB","PDLIM5"
"ACTB","PFDN1"
"ACTB","POLR2A"
"ACTB","RCC1"
"ACTB","TK1"
"ACTB","TMSB4X"
"ACTB","TPM1"
"ACTB","TPM2"
"ACTB","VSNL1"
"ACTC1","ACTB"
"ACTC1","ACTN4"
"ACTC1","HSPB1"
"ACTC1","LASP1"
"ACTC1","TWF1"
"ACTC1","VCL"
"ACTG1","ABLIM1"
"ACTG1","ACTB"
"ACTG1","ANXA5"
"ACTG1","ATF7IP"
"ACTG1","CFL1"
"ACTG1","CFL2"
"ACTG1","GSN"
"ACTG1","RPS6KA5"
"ACTG1","VASP"
"ACTG1","VCL"
"ACTG1","VIL1"
"ACTG1","WASF1"
"ACTL6A","ARHGDIA"
"ACTL6A","POLR2A"
"ACTL6A","TRRAP"
"ACTL6B","CTBP1"
"ACTN1","CDK5"
"ACTN1","COIL"
"ACTN1","CSRP1"
"ACTN1","CSRP3"
"ACTN1","LPP"
"ACTN1","MAGEA11"
"ACTN1","PDLIM1"
"ACTN1","PKN1"
"ACTN1","ZYX"
"ACTN2","CAMK2A"
"ACTN2","NRIP1"
"ACTN2","PDLIM1"
"ACTN2","SNW1"
"ACTN3","NRAP"
"ACTN4","LRRC7"
"ACTN4","PDLIM1"
"ACTN4","TRIM3"
"ACTR1A","DCTN1"
"ACTR1A","NUMA1"
"ACTR2","ACTR3"
"ACTR2","ARPC1B"
"ACTR2","HCLS1"
"ACVR1","DUSP13"
"ACVR1","FBXO30"
"ACVR1","FCHO1"
"ACVR1","FGD6"
"ACVR1","FKBP4"
"ACVR1","NRAS"
"ACVR1","PAK1"
"ACVR1","RAB25"
"ACVR1","RAB33B"
"ACVR1","RASD2"
"ACVR1","RPS27A"
"ACVR1","SOCS6"
"ACVR1","UBA52"
"ACVR1","UBE2E3"
"ACVR1","WDR61"
"ACVR1B","SNX2"
"ACVR2A","BMP6"
"ACVR2B","IGSF1"
"ACVR2B","SNX2"
"ACVR2B","SYNJ2BP"
"ACVR2B","TGFBRAP1"
"ACVRL1","ACVR2A"
"ACVRL1","TGFBR1"
"ACVRL1","TGFBR2"
"ADA","GRB2"
"ADAM15","HCK"
"ADAM17","MAD2L1"
"ADAM17","NOTCH1"
"ADAM17","TNF"
"ADAM9","MAD2L2"
"ADAM9","PRKCD"
"ADAM9","SH3D19"
"ADAM9","SNX9"
"ADAMTS1","A2M"
"ADAMTS10","ANXA7"
"ADAMTS10","PCYT2"
"ADAMTS4","FN1"
"ADAMTS4","SERPINA3"
"ADAMTSL4","FHL3"
"ADAP1","ANP32A"
"ADCY6","RAF1"
"ADCYAP1R1","ADCYAP1"
"ADCYAP1R1","CALM1"
"ADIPOR1","APPL1"
"ADORA1","EPB41L2"
"ADORA1","GNAZ"
"ADORA2A","ACTN3"
"ADORA2A","ACTN4"
