"Name","K","Kin","Kout","TypeI","TypeII"
"SYNCRIP",5,4,1,0,1
"A2M",12,5,7,0,1
"HMOX2",7,3,4,0,1
"MAP1LC3B",14,13,1,0,1
"PRKACA",26,6,20,0,1
"YWHAZ",44,10,34,0,1
"MDFI",26,21,5,0,1
"RB1",100,80,20,0,1
"FADD",17,7,10,0,1
"STX1A",21,12,9,0,1
"ABCF3",4,3,1,0,1
"EPS8",10,4,6,0,1
"PAK2",8,5,3,0,1
"SOS1",26,11,15,0,1
"KRT15",15,14,1,0,1
"ABL1",28,15,13,0,1
"BCR",16,10,6,0,1
"POLR2A",33,23,10,0,1
"PRKD1",12,9,3,0,1
"SFN",19,14,5,0,1
"YWHAE",16,6,10,0,1
"CALCOCO2",12,5,7,0,1
"VIM",48,28,20,0,1
"YWHAG",93,67,26,0,1
"ATXN1",34,18,16,0,1
"CSNK2A1",49,36,13,0,1
"CSNK2A2",31,18,13,0,1
"CTNNB1",56,36,20,0,1
"LCK",40,18,22,0,1
"CFL1",10,5,5,0,1
"ACTB",59,36,23,0,1
"ANXA7",51,33,18,0,1
"BCL2L1",17,13,4,0,1
"CPNE2",4,3,1,0,1
"CSNK1A1",12,7,5,0,1
"EEF1A1",43,19,24,0,1
"H2AFX",10,5,5,0,1
"PFDN1",14,8,6,0,1
"TK1",44,32,12,0,1
"ACTN4",10,7,3,0,1
"VCL",36,18,18,0,1
"ACTG1",15,3,12,0,1
"ATF7IP",18,8,10,0,1
"VASP",14,12,2,0,1
"ARHGDIA",13,12,1,0,1
"TRRAP",7,5,2,0,1
"ACTN1",21,12,9,0,1
"CDK5",28,21,7,0,1
"COIL",20,15,5,0,1
"MAGEA11",9,6,3,0,1
"CAMK2A",12,9,3,0,1
"DCTN1",12,8,4,0,1
"NUMA1",6,5,1,0,1
"ACVR1",27,12,15,0,1
"PAK1",27,18,9,0,1
"UBE2E3",5,4,1,0,1
"SNX2",10,4,6,0,1
"ACVR2A",4,3,1,0,1
"TGFBR1",29,12,17,0,1
"TGFBR2",16,5,11,0,1
